contribution_id,contribution_code,type,title,date_time,abstract,footnotes,session,session_code,page_number
12,THA02,Invited Oral Presentation,Development of Nb3Sn coatings on copper at,"Thursday, September 25, 2025 8:50 AM",The successful development of Nb3Sn/Cu coatings for the SRF cavities of next generation particle,"Funding Agency
This project has received funding from the EU ’s Horizon Programmes under GA 101131435 iSAS
and under GA 101004730 I.FAST.
Supported by INFN experiments SAMARA/SuperMAD (CSN5) and SRF/RD_FCC (CSN1).
Author: FONNESU, Dorothea (Istituto Nazionale di Fisica Nucleare)
Co-authors: CHYHYRYNETS, Eduard (Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali di
Legnaro) ;FORD, Davide (Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali di Legnaro) ;Dr
KECKERT, Sebastian (Helmholtz-Zentrum Berlin für Materialien und Energie) ;KNOBLOCH, Jens (Uni-
versity of Siegen) ;KRAMER, Felix (Helmholtz-Zentrum Berlin für Materialien und Energie) ;KUGELER,
Oliver (Helmholtz-Zentrum Berlin für Materialien und Energie) ;Dr LAZZARI, Matteo (Istituto Nazionale
di Fisica Nucleare, Laboratori Nazionali di Legnaro) ;MARCONATO, Giovanni (Universität Hamburg) ;PROSLIER,
Thomas (Commissariat à l’Énergie Atomique et aux Énergies Alternatives) ;WENSKAT, Marc (Univer-
September 29, 2025 Page 13",Thursday Oral Session A,THA,14
13,FRA06,Invited Oral Presentation,RF DIPOLE CRYOMODULE TESTS,"Friday, September 26, 2025 10:10 AM","The first RF Dipole crab cavity cryomodule, jointly developed by CERN and UK-STFC under the","Funding Agency
This research is supported by the HL-LHC project and UK Science and Technology Council through
HL-LHC-UK.
Author: VALVERDE ALONSO, Nuria (European Organization for Nuclear Research)
Co-authors: EDWARDS, Amelia (European Organization for Nuclear Research) ;MONTESINOS,
Eric (European Organization for Nuclear Research) ;Mr CIPOLLA, Gino (European Organization for Nu-
clear Research) ;BREGLIOZZI, Giuseppe (European Organization for Nuclear Research) ;BURT, Graeme
(Lancaster University) ;HAGMANN, Gregoire (European Organization for Nuclear Research) ;SWIESZEK,
Joanna (Kraftanlagen (Germany)) ;TURAJ, Katarzyna (European Organization for Nuclear Research) ;AR-
TOOS, Kurt (European Organization for Nuclear Research) ;Mr DELPRAT, Laurent (European Organiza-
tion for Nuclear Research) ;DASSA, Luca (European Organization for Nuclear Research) ;GARLASCHÈ,
Marco (European Organization for Nuclear Research) ;GUINCHARD, Michael (European Organization
for Nuclear Research) ;Mr JAUSSI, Michael (European Organization for Nuclear Research) ;Mr STA-
PLEY, Niall (European Organization for Nuclear Research) ;TEMPLETON, Niklas (Science and Tech-
nology Facilities Council) ;CAPATINA, Ofelia (European Organization for Nuclear Research) ;Mr
MINGINETTE, Pierre (European Organization for Nuclear Research) ;CALAGA, Rama (European Or-
ganization for Nuclear Research) ;DOMINGO GOMEZ, Sara (European Organization for Nuclear Re-
search) ;CALVO, Sebastien Jerome (European Organization for Nuclear Research) ;BARRIERE, Simon
(European Organization for Nuclear Research) ;Mr CAPELLI, Teddy (European Organization for Nu-
clear Research) ;GUILLEN HERNANDEZ, Teresa (European Organization for Nuclear Research) ;RUDE,
Vivien (European Organization for Nuclear Research) ;Mr BRODZINSKI, krzysztof (European Organi-
zation for Nuclear Research)
September 29, 2025 Page 15",Friday Oral Session A,FRA,16
14,WEB01,Invited Oral Presentation,Insights on the effect of N and O impurities towards,"Wednesday, September 24, 2025 11:00 AM",optimizing SRF cavity performance,"Funding Agency
Author: HU, Hannah (University of Chicago)
Co-authors: BAFIA, Daniel (Fermi National Accelerator Laboratory) ;KIM, Young-Kee (University
of Chicago)
Presenter: HU, Hannah (University of Chicago)
Session Classification: Wednesday Oral Session: B
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 17",Wednesday Oral Session B,WEB,18
16,TUB05,Invited Oral Presentation,Plasma processing of FRIB low-beta cryomodules,"Tuesday, September 23, 2025 12:20 PM",using higher-order modes,"Funding Agency
This material is based upon work supported by the U.S. Department of Energy, Office of Science,
Office of High Energy Physics, under Award Number DE-SC0023633 and DE-SC0018362.
Author: TUTT, Patrick (Facility for Rare Isotope Beams)
Co-authors: SAITO, Kenji (Facility for Rare Isotope Beams) ;ELLIOTT, Kyle (Facility for Rare Iso-
tope Beams) ;KIM, Sang-Hoon (Facility for Rare Isotope Beams) ;XU, Ting (Facility for Rare Isotope
Beams) ;HARTUNG, Walter (Facility for Rare Isotope Beams) ;CHANG, Wei (Facility for Rare Isotope
Beams)
Presenter: TUTT, Patrick (Facility for Rare Isotope Beams)
Session Classification: Tuesday Oral Session: B
Track Classification: MC3: Cavities
September 29, 2025 Page 18",Tuesday Oral Session B,TUB,19
17,THA06,Invited Oral Presentation,Nonequilibrium corrections and Higgs mode in,"Thursday, September 25, 2025 10:10 AM",superconducting devices: unraveling the pronounced,"[1] A. Gurevich, Phys. Rev. Lett. 113, 087001 (2014).
[2] T. Kubo and A. Gurevich, Phys. Rev. B 100, 064522 (2019).
[3] T. Kubo, Phys. Rev. Applied 22, 044042 (2024).
[4] T. Kubo, arXiv:2502.05914.
Author: KUBO, Takayuki (High Energy Accelerator Research Organization)
Presenter: KUBO, Takayuki (High Energy Accelerator Research Organization)
Session Classification: Thursday Oral Session: A
September 29, 2025 Page 19",Thursday Oral Session A,THA,20
19,THA01,Invited Oral Presentation,Production of Nb3Sn film on copper substrate by the,"Thursday, September 25, 2025 8:30 AM",bronze route and the RF characterization of samples,"Funding Agency
Author: LU, Ming (Institute of Modern Physics, Chinese Academy of Sciences)
Co-authors: KECKERT, Sebastian (Helmholtz-Zentrum Berlin für Materialien und Energie) ;KRAMER,
Felix (Helmholtz-Zentrum Berlin für Materialien und Energie) ;ZUBTSOVSKII, Aleksandr (University
of Siegen) ;Dr PRUDNIKAVA, Alena (Helmholtz-Zentrum Berlin für Materialien und Energie) ;KNOBLOCH,
Jens (University of Siegen) ;KUGELER, Oliver (Helmholtz-Zentrum Berlin für Materialien und En-
ergie)
Presenter: LU, Ming (Institute of Modern Physics, Chinese Academy of Sciences)
Session Classification: Thursday Oral Session: A
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 21",Thursday Oral Session A,THA,22
20,THA05,Invited Oral Presentation,Investigation of anti-Q-slope and Q-slope effects in,"Thursday, September 25, 2025 9:50 AM",SRF cavities: a unified theoretical framework,"Funding Agency
Author: BIANCHI, Antonio (Istituto Nazionale di Fisica Nucleare)
Presenter: BIANCHI, Antonio (Istituto Nazionale di Fisica Nucleare)
Session Classification: Thursday Oral Session: A
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 22",Thursday Oral Session A,THA,23
21,MOP31,Student Poster Presentation,Electromagnetic design of a quadrupole resonator,"Monday, September 22, 2025 2:30 PM",for SRF materials at IMP,"Funding Agency
Author: ZHAO, Yong (Institute of Modern Physics, Chinese Academy of Sciences)
Co-authors: HUANG, Shichun (Institute of Modern Physics, Chinese Academy of Sciences) ;YU,
MIngming (Sichuan University) ;PENG, Long (Lanzhou University) ;GU, Xiangcheng (Institute of Mod-
ern Physics, Chinese Academy of Sciences) ;HE, Yuan (Institute of Modern Physics, Chinese Academy
of Sciences)
Presenter: ZHAO, Yong (Institute of Modern Physics, Chinese Academy of Sciences)
Session Classification: Monday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 23",Monday Poster Session,MOP,24
22,MOP61,Student Poster Presentation,Design and testing of high power test bench for,"Monday, September 22, 2025 2:30 PM",CiADS elliptical superconducting cavity input,"Funding Agency
Author: LIU, Guochang (Institute of Modern Physics, Chinese Academy of Sciences)
Co-authors: JIANG, Tiancai (Institute of Modern Physics, Chinese Academy of Sciences) ;HE, Yuan
(Institute of Modern Physics, Chinese Academy of Sciences)
Presenter: LIU, Guochang (Institute of Modern Physics, Chinese Academy of Sciences)
Session Classification: Monday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 24",Monday Poster Session,MOP,25
23,TUP70,Student Poster Presentation,A low-level radio frequency (LLRF) control system,"Tuesday, September 23, 2025 2:30 PM",for multiple superconducting cavities based on,"Funding Agency
Author: GAO, Wenbin (Institute of High Energy Physics)
Co-authors: GAN, Nan (Institute of High Energy Physics) ;ZHOU, Zusheng (Institute of High
Energy Physics) ;Prof. ZHAI, Jiyuan (Institute of High Energy Physics) ;MA, Xinpeng (Key Laboratory
of Particle Acceleration Physics and Technology)
Presenter: GAO, Wenbin (Institute of High Energy Physics)
Session Classification: Tuesday Poster Session
Track Classification: MC4: SRF Technologies
September 29, 2025 Page 25",Tuesday Poster Session,TUP,26
